NAC,USA,ECS,SAS,EAS,LCN,SSF,MEA,WLD,year
4803931.348,4406329.539,8697010.19549905,285677.635,2653341.01179149,674162.062971464,300595.674420369,460750.195694775,17175195.2093653,1975
5676901.035,5126913.374,6224889.12131441,2645135.445,14125802.075244,1872709.99150542,831481.829347936,2648171.721,34040671.3149961,2015
5732060.049,5252112.088,6834514.58714005,1009767.122,6415539.4425983,1195065.03208387,507500.471851962,1211573.133,22899608.2161666,1996
3821399.035,3561878.111,6157823.65116475,216370.266765724,1254442.05303646,382981.577723003,177843.836133509,210974.529369333,11671138.5523959,1966
4915085.452,4492555.377,10140033.4258054,492357.089,3891437.20469891,906930.776669329,476493.856253401,762959.334862711,20862411.9520812,1985
4966192.431,4535800.308,9558892.47082646,387715.577,3245948.13880844,882541.051999324,403997.996618671,625380.655892996,19353115.045641,1981
6161201.725,5641309.133,6640019.14911668,1217722.692,7120524.83146183,1405994.76577365,573623.105879858,1516011.14,24634020.255788,2002
5307183.094,4890861.25,9610474.31653542,321225.533,3160161.71937893,793151.761994821,324168.084767133,603900.734081705,19394075.0340228,1978
3330490.411,3119230.874,5358971.11136977,194459.307256458,1010723.60319924,328407.103003595,143059.676011165,133183.521103794,10002664.716338,1963
5350974.408,4909533.614,7662172.42243362,795669.327,5203770.83728638,1040390.42287306,437074.813674146,1070969.352,21543190.6184573,1992
3977818.587,3695708.943,6365185.96145335,219835.682119072,1266272.25925643,412768.082611459,184895.667429632,225227.184255396,12084923.7168921,1967
5923404.109,5395532.125,6697917.01146453,1977587.431,12549251.4631969,1731757.15647131,768840.371818098,2268890.244,31927784.1233109,2010
5908065.048,5401010.623,6564314.66729153,1069253.196,6181932.10355999,1339940.1214301,520099.314158621,1267953.258,22845753.2704694,1998
5864534.091,5368715.354,6580901.79181781,1048035.934,6516337.0569413,1261302.04500826,531942.892336406,1188328.02,22986911.7005423,1997
4332347.814,4024748.853,6993248.93494373,244379.623875643,1636368.79747002,477332.183611089,205124.561849539,302623.908676596,13606233.2394391,1969
5796173.877,5263505.457,6399238.80692409,1977506.757,11156119.8133807,1645991.81816543,747381.985097735,2184453.902,29915812.3968656,2009
6269931.942,5697285.888,7015318.80322482,1510701.324,10008085.9884849,1567338.8545125,699333.858310835,1942464.905,29021469.9608644,2006
5474794.33,5028674.444,7294022.06501814,826109.094000001,5486513.29929586,1079536.39702256,458273.353723479,1173891.041,21779484.7994672,1993
3493998.274,3255995.306,5637409.05472087,191987.677681689,1066262.9060975,354136.717934732,157030.700281681,154797.119369026,10533974.4937643,1964
